jv_spec_Tmat: Spheroidal mineral dust optical properties at 12 wavelengths (inderjeet singh, rvmartin, 09/05/2024 )
==========================================================================================================
W(nm)      Q      r-eff  ss-alb  pi(0)   pi(1)    pi(2)   pi(3)   pi(4)   pi(5)   pi(6)   pi(7)  
0.44000 2.25443 1.49710 0.88880 1.00000 2.23802 3.33894 4.10142 4.86674 5.46639 6.14722 6.73137
0.50000 2.27162 1.49710 0.93015 1.00000 2.17051 3.22734 3.91449 4.60343 5.10548 5.69952 6.19173
0.55000 2.29946 1.49710 0.94825 1.00000 2.13584 3.17748 3.83008 4.48398 4.93393 5.48347 5.92768
0.60000 2.32392 1.49710 0.96154 1.00000 2.11144 3.13723 3.76420 4.38500 4.78978 5.29631 5.69278
0.67500 2.35104 1.49710 0.88042 1.00000 2.22333 3.29595 3.99131 4.62805 5.06556 5.55002 5.93087
0.80000 2.40070 1.49710 0.90714 1.00000 2.14055 3.16322 3.78300 4.36340 4.72037 5.12090 5.39757
0.87000 2.40705 1.49710 0.90879 1.00000 2.10607 3.09563 3.67673 4.21911 4.54240 4.90396 5.13623
1.00000 2.38010 1.49710 0.97883 1.00000 1.93591 2.79871 3.21183 3.61137 3.80054 4.05085 4.17943
1.02000 2.38036 1.49710 0.98586 1.00000 1.91082 2.75302 3.14330 3.52348 3.69797 3.93649 4.05329
0.30000 2.14451 2.48980 0.62121 1.00000 2.70726 4.28046 5.68007 7.04073 8.39770 9.76411 11.08743
0.35000 2.15524 2.48980 0.70081 1.00000 2.57498 4.00651 5.16596 6.28119 7.39065 8.56689 9.67868
0.40000 2.17346 2.48980 0.79190 1.00000 2.42032 3.70070 4.70617 5.68143 6.55486 7.52428 8.44270
0.44000 2.17989 2.48980 0.83900 1.00000 2.34140 3.56717 4.48485 5.38258 6.15006 7.03835 7.86609
0.50000 2.20148 2.48980 0.89586 1.00000 2.26593 3.40635 4.25041 5.07883 5.76155 6.53425 7.24552
0.55000 2.21507 2.48980 0.92243 1.00000 2.22404 3.33762 4.13426 4.92099 5.54743 6.26818 6.92344
