Path to Collection,Collection URL,Enabled/Disabled,Comments (and corresponding HEMCO extension switches)
HEMCO/VerticalScaleFactors/v2021-05,http://geoschemdata.wustl.edu/ExtData/HEMCO/VerticalScaleFactors/v2021-05,1,For CEDSv2 and CEDS_GBDMAPS
HEMCO/VOLCANO/v2021-09,http://geoschemdata.wustl.edu/ExtData/HEMCO/VOLCANO/v2021-09,1,For Volcano
HEMCO/XIAO/v2014-09,http://geoschemdata.wustl.edu/ExtData/HEMCO/XIAO/v2014-09,1,For XIAO_C3H8
HEMCO/EDGARv43/v2016-11,http://geoschemdata.wustl.edu/ExtData/HEMCO/EDGARv43/v2016-11,1,For EDGARv43 and DICE_Africa (optional?)
HEMCO/GEIA/v2014-07,http://geoschemdata.wustl.edu/ExtData/HEMCO/GEIA/v2014-07,1,For DICE_Africa (optional?)
HEMCO/NEI2005/v2014-09,http://geoschemdata.wustl.edu/ExtData/HEMCO/NEI2005/v2014-09,1,For scale factors (optional?)
HEMCO/POET/v2017-03,http://geoschemdata.wustl.edu/ExtData/HEMCO/POET/v2017-03,1,For POET_EOH (optional?)
HEMCO/RRTMG/v2018-11,http://geoschemdata.wustl.edu/ExtData/HEMCO/RRTMG/v2018-11,1,For RRTMG (optional?)
HEMCO/SOILNOX/v2014-07,http://geoschemdata.wustl.edu/ExtData/HEMCO/SOILNOX/v2014-07,1,For SoilNOx (optional?)
HEMCO/TrashEmis/v2015-03,http://geoschemdata.wustl.edu/ExtData/HEMCO/TrashEmis/v2015-03,1,For EDGARv43 (optional?)
HEMCO/Yuan_XLAI/v2021-06,http://geoschemdata.wustl.edu/ExtData/HEMCO/Yuan_XLAI/v2021-06,1,For YUAN_MODIS_LAI (optional?)
HEMCO/APEI/v2016-11,http://geoschemdata.wustl.edu/ExtData/HEMCO/APEI/v2016-11,0,Optional; APEI Canada
HEMCO/CEDS/v2020-08,http://geoschemdata.wustl.edu/ExtData/HEMCO/CEDS/v2020-08,0,Optional; For CEDS GBD-MAPS
HEMCO/DICE_Africa/v2016-10,http://geoschemdata.wustl.edu/ExtData/HEMCO/DICE_Africa/v2016-10,0,Optional; For DICE_Africa
HEMCO/HTAP/v2015-03,http://geoschemdata.wustl.edu/ExtData/HEMCO/HTAP/v2015-03,0,Optional; For HTAP and HTAP_SHIP
HEMCO/NEI2016/v2021-06,http://geoschemdata.wustl.edu/ExtData/HEMCO/NEI2016/v2021-06,0,Optional; For EPA NEI2016 USA
HEMCO/OLSON_MAP/v2019-02,http://geoschemdata.wustl.edu/ExtData/HEMCO/OLSON_MAP/v2019-02,0,Optional; For OLSON_LANDMAP
HEMCO/OMOC/v2018-01,http://geoschemdata.wustl.edu/ExtData/HEMCO/OMOC/v2018-01,0,Optional; For OMOC_RATIO
HEMCO/RCP/v2020-07,http://geoschemdata.wustl.edu/ExtData/HEMCO/RCP/v2020-07,0,Optional; For RCP_3PD
HEMCO/SAMPLE_BCs/v2021-09,http://geoschemdata.wustl.edu/ExtData/HEMCO/SAMPLE_BCs/v2021-09,0,For nested simulations
HEMCO/TRACE_METALS/v2021-06,http://geoschemdata.wustl.edu/ExtData/HEMCO/TRACE_METALS/v2021-06,0,Optional; For trace metal simulation
